endpoint	model	input_chars	exit_code	http_code	elapsed_sec	detail
https://fast.vpsairobot.com/responses	gpt-5-codex	16	0	200	5.391	{"id":"resp_0d444ae13e75e7660169c4f025e6d48191b4e723044ab9a58d","object":"response","created_at":1774514213,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5-codex	64	0	200	5.812	{"id":"resp_0e0cc4d76ae0b5950169c4f02dd3ac81919db0fff35a6e2440","object":"response","created_at":1774514221,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5-codex	128	0	200	5.256	{"id":"resp_0667a84a9477c65b0169c4f0325d3c8191ad980c19825dc79a","object":"response","created_at":1774514226,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5-codex	256	0	200	3.446	{"id":"resp_049fe7d1aef0191e0169c4f0363df48191adecfdfdc118d2d2","object":"response","created_at":1774514230,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5-codex	512	0	200	8.377	{"id":"resp_0560a080eda36ca10169c4f03c9ec4819a840c3fb9b90ed943","object":"response","created_at":1774514236,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5-codex	768	0	200	3.955	{"id":"resp_0afaad798b3668750169c4f0423d1081919460fadf7fcbf8ba","object":"response","created_at":1774514242,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5-codex	1024	0	200	4.354	{"id":"resp_0abbbb480658a0b10169c4f04615a48191a0289ce77b776606","object":"response","created_at":1774514246,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5-codex	1536	0	200	3.226	{"id":"resp_03f79762b446c1c50169c4f049e2508191bcc25549c2686a99","object":"response","created_at":1774514249,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5-codex	2048	0	200	2.505	{"id":"resp_0c28f1ec540286fa0169c4f04cf2d881918e3c8342f78be0fd","object":"response","created_at":1774514252,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5-codex	3072	0	200	8.332	{"id":"resp_09022ef1e7edef450169c4f051049c8191925e21887ff13f04","object":"response","created_at":1774514257,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5-codex	4096	0	200	4.058	{"id":"resp_065b245f57ffadee0169c4f05891e481919db6794dc1b99a93","object":"response","created_at":1774514264,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5.3-codex	16	0	200	8.864	{"id":"resp_0be988cb2199c8850169c4f05c9ae08191b57d9ab084c9ff36","object":"response","created_at":1774514268,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5.3-codex	64	0	200	11.275	{"id":"resp_0c9c03561a76b14f0169c4f0699a30819197aadfc73679c0c1","object":"response","created_at":1774514281,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5.3-codex	128	0	200	10.672	{"id":"resp_0716d3f9f05a46880169c4f07421c4819182d050670c1cbfed","object":"response","created_at":1774514292,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5.3-codex	256	0	200	16.695	{"id":"resp_07a9ce5330c43e520169c4f07b9cd48191b27c26368a08b9c3","object":"response","created_at":1774514299,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5.3-codex	512	0	200	6.759	event: response.created data: {"type":"response.created","response":{"id":"resp_0bf44c87f44ea9240169c4f08fa0d881918af8a59b6dab889c","object"
https://fast.vpsairobot.com/responses	gpt-5.3-codex	768	0	200	11.431	{"id":"resp_00adb7aa0aa9ac9b0169c4f092572081918276b7bc7bbfbf71","object":"response","created_at":1774514322,"status":"completed","background
https://fast.vpsairobot.com/responses	gpt-5.3-codex	1024	0	200	11.194	{"id":"resp_0959a1c68d333b500169c4f09dea6c81918e1d2468af36f7b8","object":"response","created_at":1774514333,"status":"completed","background
